Date,Field_ID,Cap_Method,Location,Coast,Cap_Lat,Cap_Long,TOB,Release_Time,Tide,TotalDepth,Hab_Type,Sex,LifeStage,DW,SL,TL,Plate_Wear,Plate_Chipped,Mouth_Upper,Mouth_Bottom,Mouth_Gape,Weight_SER,Lavage,Time_Start,Time_Stop
20200522,20200522_01_01,Nylon Seine,Sarasota,Gulf,27.32184,-82.58762,9:29,10:08,Incoming,1.75,Sand,F,M,165.4,110,123.6,Rough,Y,6.5,6,7.1,66.6,Y,9:56,9:57
20200522,20200522_02_01,Nylon Seine,Sarasota,Gulf,27.32357,-82.59173,10:37,11:10,Incoming,1.15,Sand,M,M,180.6,109,118.6,Smooth,N,6.5,6,6,83.4,Y,10:59,11:04
20200527,20200527_01_01,Tangle Net,Fort Pierce,Atlantic,27.47619,-80.29938,9:43,10:14,Incoming,0.5,Mud,F,UN,135.6,84.5,98.2,NA,NA,NA,NA,NA,35.85,Y,NA,NA
20200528,20200528_01_01,Nylon Seine,Sarasota,Gulf,27.32374,-82.59191,8:58,9:31,Incoming,1,Sand,F,M,157.8,104.2,110,Smooth,N,6.2,5.7,8.5,64.4,Y,9:21,9:22
20200528,20200528_02_01,Nylon Seine,Sarasota,Gulf,27.28297,-82.57354,10:28,11:05,Incoming,1.5,Sand,F,M,156.2,99.8,112.2,Smooth,Y,5.6,5,5.9,64.2,Y,10:53,10:55
20200528,20200528_03_01,Nylon Seine,Sarasota,Gulf,27.3305,-82.59355,11:38,12:22,Incoming,1,Sand,F,M,184.2,112.8,124.6,Very Rough,Y,8.4,7.4,9.2,91.2,Y,12:15,12:17
20200529,20200529_01_01,Nylon Seine,Sarasota,Gulf,27.34003,-82.5812,11:07,11:54,Outgoing,1.75,Patchy SG,F,M,179,112.2,127,Smooth,Y,8.2,6.4,9.7,96.1,Y,11:43,11:46
20200529,20200529_02_01,Nylon Seine,Sarasota,Gulf,27.32971,-82.59317,12:17,12:58,Incoming,1.75,Sand,F,M,164,99,117.2,Smooth,Y,6.5,6.1,11,73,Y,12:48,12:51
20200609,20200609_01_02,Tangle Net,Sebastian,Atlantic,27.8564,-80.4633,13:46,14:03,High,1,NA,M,M,134.6,86.2,94.1,NA,NA,6.2,4.5,7.4,32.25,Y,13:55,13:58
20200622,20200622_01_01,Tangle Net,Sebastian,Atlantic,27.85554,-80.46419,11:37,11:57,High,1.6,NA,M,M,141.8,89.2,99.4,NA,NA,6.6,5.2,6.4,42.05,Y,11:50,11:54
20200623,20200623_01_01,Tangle Net,St. Lucie,Atlantic,27.16912,-80.17403,10:40,10:55,Incoming,1,NA,M,M,120.8,76,82.2,NA,NA,5.1,4.3,6.5,26.1,Y,10:51,10:53
20200707,20200707_01_01,Tangle Net,Sebastian,Atlantic,27.85303,-80.4639,9:58,10:16,Incoming,0.7,NA,F,M,155.8,95,106,Smooth,Y,7.7,6.1,8.4,59.3,Y,10:11,10:14
20200708,20200708_01_01,Tangle Net,St. Lucie,Atlantic,27.18716,-80.16476,14:16,14:36,Outgoing,2.7,NA,F,UN,114.6,66.6,76.8,Smooth,N,5.9,4.3,5.6,22.3,Y,14:31,14:34
20200709,20200709_01_01,Tangle Net,Fort Pierce,Atlantic,27.45504,-80.30542,10:55,11:29,Incoming,1.1,NA,F,UN,126.2,77.1,86.2,Smooth,Y,5.9,4.2,6.3,30,Y,NA,NA
20200709,20200709_02_01,Tangle Net,Fort Pierce,Atlantic,27.47052,-80.32037,12:54,13:23,High,0.8,NA,F,UN,132.8,84,94.6,Smooth,Y,6.5,4.8,9.3,34.4,Y,13:21,13:23
20200709,20200709_03_01,Tangle Net,Fort Pierce,Atlantic,27.47039,-80.31623,14:02,14:27,Outgoing,0.7,SG/Mud,F,UN,125,79.4,91,Smooth,N,6.4,5,8.3,27.9,Y,14:20,14:22
20200721,20200721_01_01,Tangle Net,Sebastian,Atlantic,27.84585,-80.44374,11:51,12:12,High,NA,NA,M,M,133.5,84,97.2,Smooth,N,6.4,4.8,6.4,37.15,Y,12:07,12:09
20200806,20200806_01_01,Tangle Net,Sebastian,Atlantic,27.85167,-80.45966,11:16,11:38,High,0.9,NA,M,M,126,76.6,87.4,Smooth,Y,6.01,5.06,7.46,30.3,Y,11:30,11:33
20200806,20200806_02_01,Tangle Net,Sebastian,Atlantic,27.85028,-80.45856,13:43,14:15,Outgoing,1,NA,M,M,128,80.6,88.4,Rough,Y,6.36,4.81,7.43,31.55,Y,14:04,14:06
20200817,20200817_01_01,Nylon Seine,Sarasota,Gulf,27.29112,-82.56625,10:51,11:12,High,1.5,Sand,F,M,174,101.8,114.6,Smooth,Y,7.21,6.07,7.67,71.5,Y,11:07,11:09
20200817,20200817_01_02,Nylon Seine,Sarasota,Gulf,27.29112,-82.56625,11:14,SLP,High,1.5,Sand,M,M,158,97.8,106.4,Rough,Y,7.23,5.71,9.83,62.1,Y,11:51,11:53
20200820,20200820_01_01,Nylon Seine,Sarasota,Gulf,27.32688,-82.5896,8:17,SLP,Incoming,1.25,Sand,M,IM,114.8,63,72.2,Rough,Y,4.57,3.16,6.29,18.9,Y,8:37,8:38
20200928,20200928_01_01,Nylon Seine,Sarasota,Gulf,27.34206,-82.57809,12:45,13:57,Outgoing,2,Patchy SG,M,IM,106.2,65,78.2,Smooth,N,4.9,3.2,7.9,20.2,Y,13:42,13:43
20200928,20200928_01_02,Nylon Seine,Sarasota,Gulf,27.34206,-82.57809,12:48,14:21,Outgoing,2,Patchy SG,M,IM,112,70.8,73.8,Smooth,Y,4.2,3.8,4.5,19.3,Y,14:06,14:07
20201026,20201026_01_01,Nylon Seine,Sarasota,Gulf,27.37732,-82.609939,15:30,16:08,Outgoing,2,Patchy SG,F,IM,111.2,66.4,76,Smooth,N,5.04,3.71,7.18,22,Y,15:58,16:00
20201027,20201027_01_01,Nylon Seine,Sarasota,Gulf,27.43426,-82.67425,12:10,12:55,Outgoing,2,Patchy SG,F,J,67,40.4,47.1,Smooth,Y,2.59,2.17,5.25,4.1,Y,12:48,12:50
20201216,20201216_01_01,Tangle Net,Sebastian,Atlantic,27.84052,-80.47611,12:51,13:27,Outgoing,1,Patchy SG,M,J,66.8,40.8,47.4,Rough,N,3.16,2.4,4.98,4.1,Y,13:22,13:25
20201216,20201216_02_01,Tangle Net,Sebastian,Atlantic,27.85564,-80.4598,14:02,14:35,Outgoing,0.4,Sand,F,M,182.2,117.2,127.2,Rough,Y,9.3,7.3,8.3,94.05,Y,14:17,14:20
20201217,20201217_01_01,Tangle Net,Fort Pierce,Atlantic,27.46867,-80.31596,10:48,11:16,High,0.7,Sand,F,M,187.4,114.4,128.3,Rough,Y,9.12,7.27,11.81,102.35,Y,11:03,11:07
20201217,20201217_02_01,Tangle Net,Fort Pierce,Atlantic,27.46889,-80.3172,11:31,11:59,High,0.7,Sand,F,M,172.4,107,120.2,Smooth,Y,8.58,6.07,9.72,79.55,Y,11:49,11:52
20210216,20210216_01_01,Tangle Net,Fort Pierce,Atlantic,27.47171,-80.29846,12:50,13:10,Outgoing,0.9,Sand,M,M,128.6,81.4,93.2,Rough,Y,6.63,4.78,7.8,31.3,Y,13:02,13:05
20210217,20210217_01_01,Tangle Net,St. Lucie,Atlantic,27.16756,-80.17584,10:13,10:48,Incoming,0.8,Sand,M,M,140.8,82.2,93,Rough,Y,6.32,4.99,7.74,36.05,Y,10:43,10:44
20210217,20210217_02_01,Tangle Net,St. Lucie,Atlantic,27.17033,-80.17223,11:19,11:47,Incoming,0.9,Sand,M,M,137.6,84.8,97.4,Smooth,Y,6.14,4.49,8.28,37.6,Y,11:35,11:38
20210217,20210217_03_01,Tangle Net,St. Lucie,Atlantic,27.17025,-80.17303,11:59,12:41,High,0.5,Sand,M,M,138.4,86.4,96.2,Rough,Y,6.32,5.25,4.55,36.75,Y,12:28,12:31
20210217,20210217_04_01,Tangle Net,St. Lucie,Atlantic,27.18909,-80.16609,13:08,13:36,Outgoing,0.8,SG/Mud,M,M,124.6,74.4,84.4,Rough,Y,5.86,4.38,6.45,25.65,Y,13:27,13:28
20210317,20210317_01_01,Tangle Net,St. Lucie,Atlantic,27.16995,-80.17599,10:29,11:05,Incoming,0.7,Sand,M,M,133.4,86.4,97,Smooth,Y,6.39,4.68,7.14,36.4,Y,10:58,11:00
20210317,20210317_02_01,Tangle Net,St. Lucie,Atlantic,27.1701,-80.17423,11:52,12:30,Incoming,1,Sand,F,UN,123.2,77,88.2,Smooth,Y,6.13,4.57,6.18,27.4,Y,12:25,12:26
20210318,20210318_01_01,Tangle Net,St. Lucie,Atlantic,27.16999,-80.17236,10:27,10:53,Incoming,0.8,NA,M,M,143.8,89.4,94.4,Rough,Y,6.24,4.79,8.94,43.65,Y,10:48,10:49
20210318,20210318_02_01,Tangle Net,St. Lucie,Atlantic,27.17446,-80.17309,11:22,11:48,Incoming,0.8,NA,F,UN,123,77.4,89.8,Rough,N,6.29,4.72,7.09,29.6,Y,11:44,11:45
20210318,20210318_03_01,Tangle Net,St. Lucie,Atlantic,27.19,-80.17773,13:12,13:37,High,1,SG/Mud,F,M,166,101.4,115.8,Rough,Y,8.39,5.94,11.24,68.9,Y,13:30,13:34
20210329,20210329_01_01,Tangle Net,Sebastian,Atlantic,27.86372,-80.46049,10:52,11:19,High,1.5,Sand,M,M,139,88.4,98.6,Rough,Y,7.39,5.08,8.57,39.35,Y,11:12,11:14
20210329,20210329_02_01,Tangle Net,Sebastian,Atlantic,27.87207,-80.47571,13:42,14:13,Outgoing,0.7,SG/Mud,M,IM,110.8,61.6,75.8,Smooth,Y,5.22,4.02,5.54,18.6,Y,14:07,14:08
20210407,20210407_01_01,Nylon Seine,Sarasota,Gulf,27.27316,-82.57047,10:59,11:55,Incoming,1.2192,Sand,F,M,153,90,101,Smooth,Y,7.36,5.52,8.68,47.7,Y,11:49,11:50
20210407,20210407_04_01,Nylon Seine,Sarasota,Gulf,27.33706,-82.57855,15:03,15:35,Outgoing,1.524,Sand,F,UN,122,72.4,84.2,Smooth,N,5.54,4.4,7.75,27.9,Y,15:22,15:24
20210407,20210407_04_02,Nylon Seine,Sarasota,Gulf,27.33706,-82.57855,15:38,,Outgoing,1.524,Sand,F,UN,121,72.4,80.8,Smooth,N,5.09,4.15,7.33,24.8,Y,16:00,16:01
20210408,20210408_01_01,Nylon Seine,Sarasota,Gulf,27.34416,-82.57828,,13:25,Incoming,1.8288,Patchy SG,F,UN,118,74.8,85.6,Rough,Y,5.31,4.29,6.72,26.5,Y,13:17,13:20
20210408,20210408_01_02,Nylon Seine,Sarasota,Gulf,27.34416,-82.57828,,13:48,Incoming,1.8288,Patchy SG,F,UN,137.2,80.8,96.8,Smooth,Y,6.07,4.75,8.01,38.9,Y,13:42,13:45
20210408,20210408_02_01,Nylon Seine,Sarasota,Gulf,27.39646,-82.61599,14:40,15:12,Outgoing,1.524,Patchy SG,M,IM,105.4,64.4,71.6,Smooth,Y,4.91,3.45,6.5,17.8,Y,,
20210422,20210422_01_01,Nylon Seine,Sarasota,Gulf,27.41106,-82.63582,10:01,10:32,High,0.9144,Patchy SG,F,IM,84.9,48,56.6,Smooth,Y,3.88,2.79,5.85,8.9,Y,10:21,10:23
20210422,20210422_02_01,Nylon Seine,Sarasota,Gulf,27.41132,-82.6349,11:08,11:41,High,0.9144,Patchy SG,M,IM,124.5,73,90,Rough,Y,5.6,4.07,7.72,31.7,Y,11:32,11:35
20210422,20210422_03_01,Nylon Seine,Sarasota,Gulf,27.39466,-82.62505,12:18,12:39,Outgoing,0.762,Patchy SG,F,J,54.9,36,41.4,Smooth,N,2.98,2.19,3.79,2.5,Y,12:34,12:35
20210423,20210423_01_01,Nylon Seine,Sarasota,Gulf,27.41116,-82.63439,10:54,11:20,Incoming,1.2192,Patchy SG,F,J,54,34.5,38.2,Smooth,N,2.76,2.02,3.64,2.5,Y,11:11,11:13
20210713,20210713_01_01,Tangle Net,Sebastian,Atlantic,27.84722,-80.44948,10:16,10:50,Incoming,0.4,Patchy SG,F,M,165.8,102.4,116.4,Smooth,Y,7.88,5.75,10.1,69.25,Y,10:42,10:44
20210715,20210715_01_01,Tangle Net,St. Lucie,Atlantic,27.16961,-80.16997,9:31,10:01,Incoming,1.3,Sand,M,M,128.8,80.4,90.6,Smooth,Y,6.58,4.46,7.59,41.2,Y,9:55,9:57
20210715,20210715_02_01,Tangle Net,St. Lucie,Atlantic,27.1893,-80.17546,11:07,11:37,Incoming,0.5,Sand,M,M,149.8,93.2,106.8,Rough,Y,6.68,5.14,7.99,50.3,Y,11:31,11:34
20210715,20210715_03_01,Tangle Net,St. Lucie,Atlantic,27.1762,-80.18012,13:38,14:09,High,1.9,Channel,F,UN,140,83.2,97.4,Smooth,Y,6.69,5.18,6.4,41.15,Y,14:03,14:04
20210715,20210715_04_01,Tangle Net,St. Lucie,Atlantic,27.16997,-80.1738,14:48,15:35,Outgoing,1.1,Sand,F,IM,112.2,69.8,80.2,Smooth,Y,5.67,4.02,4.45,22.8,Y,15:30,15:31
20210715,20210715_04_02,Tangle Net,St. Lucie,Atlantic,27.16997,-80.1738,14:59,15:43,Outgoing,1.1,Sand,M,IM,99.2,61.4,71.2,Rough,Y,4.31,3.41,5.29,13.45,Y,15:36,15:38
20210825,20210825_01_01,Tangle Net,Fort Pierce,Atlantic,27.46919,-80.31746,10:24,11:01,Incoming,0.5,Patchy SG,F,M,160.4,103.6,115.6,Rough,Y,7.58,5.99,10.26,59.45,Y,10:51,10:54
20210825,20210825_02_01,Tangle Net,Fort Pierce,Atlantic,27.46886,-80.31478,12:53,13:18,Outgoing,0.5,Patchy SG,F,UN,132.8,81,91.8,Rough,Y,6.91,4.97,6.01,35.6,Y,13:11,13:12